Task ID,Task,Phase,Milestone,Workstream,Type,Priority,Status,Story Points,Depends On,Source Project,License Handling,Deliverable,Acceptance,Codex Execution Note
CIV-031,Implement version-pinned ColonyFacade,P4,M3,MineColonies,Engineering,P0,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement version-pinned ColonyFacade,Colony lookup and membership are isolated.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-032,Implement BuildingAssignmentFacade,P4,M3,MineColonies,Engineering,P0,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement BuildingAssignmentFacade,External residents can hold valid jobs.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-033,Implement family-aware housing adapter,P4,M3,MineColonies,Engineering,P0,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement family-aware housing adapter,Housing respects MCA household constraints.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-034,Implement ExternalCitizenProxy,P4,M3,MineColonies,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Implement ExternalCitizenProxy,MCA hosts work without entity replacement.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-035,Implement WorkOrderFacade,P4,M3,MineColonies,Engineering,P1,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement WorkOrderFacade,General workers consume relevant work orders.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-036,Implement RequestSystemFacade,P4,M3,MineColonies,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Implement RequestSystemFacade,"Requests create, fulfill and cancel safely.",Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-037,Implement WarehouseQueryFacade,P4,M3,MineColonies,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Implement WarehouseQueryFacade,Stock access is transaction-safe.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-038,Implement colony permissions/events adapter,P4,M3,MineColonies,Engineering,P1,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement colony permissions/events adapter,Lifecycle and authority are respected.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-039,Implement raid/guard signal adapter,P4,M3,MineColonies,Engineering,P1,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement raid/guard signal adapter,Threat state drives unified orders.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-040,Audit MCA identity/social/family packages,P5,M4,MCA,Engineering,P0,Not Started,13,,MCA Reborn,GPL adaptation + provenance,Audit MCA identity/social/family packages,Authoritative data and hooks are mapped.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-041,Implement McaResidentHostAdapter,P5,M4,MCA,Engineering,P0,Not Started,8,,MCA Reborn,GPL adaptation + provenance,Implement McaResidentHostAdapter,MCA host attaches non-destructively.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-042,Implement relationship facade,P5,M4,MCA,Engineering,P0,Not Started,8,,MCA Reborn,GPL adaptation + provenance,Implement relationship facade,MCA remains relationship authority.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-043,Implement family graph facade,P5,M4,MCA,Engineering,P0,Not Started,13,,MCA Reborn,GPL adaptation + provenance,Implement family graph facade,Family truth is never duplicated.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-044,Implement personality and mood bridge,P5,M4,MCA,Engineering,P1,Not Started,8,,MCA Reborn,GPL adaptation + provenance,Implement personality and mood bridge,Traits influence decisions via normalized signals.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-045,Implement age and life-stage bridge,P5,M4,MCA,Engineering,P1,Not Started,8,,MCA Reborn,GPL adaptation + provenance,Implement age and life-stage bridge,Capabilities follow age safely.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-046,Implement recruitment/dialogue actions,P5,M4,MCA,Engineering,P0,Not Started,13,,MCA Reborn,GPL adaptation + provenance,Implement recruitment/dialogue actions,Civic choices use MCA interaction flow.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-047,Implement gift/economy event bridge,P5,M4,MCA,Engineering,P2,Not Started,5,,MCA Reborn,GPL adaptation + provenance,Implement gift/economy event bridge,Gifts score once across systems.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-048,Audit Modern Companions code and placeholders,P6,M5,Companions,Engineering,P0,Not Started,13,,Modern Companions,GPL adaptation + provenance,Audit Modern Companions code and placeholders,Only stable eligible systems are mapped.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-049,Resolve Human Companions/Basic Weapons lineage,P6,M5,Legal,Engineering,P0,Not Started,8,,Modern Companions,GPL adaptation + provenance,Resolve Human Companions/Basic Weapons lineage,Affected code has verified license chain.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-050,Implement host-neutral MilitaryRole model,P6,M5,Combat,Engineering,P0,Not Started,8,,Modern Companions,GPL adaptation + provenance,Implement host-neutral MilitaryRole model,Roles are data-driven.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-051,Implement unified order state machine,P6,M5,Combat,Engineering,P0,Not Started,13,,Modern Companions,GPL adaptation + provenance,Implement unified order state machine,Follow/guard/patrol/escort/retreat work.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-052,Implement equipment evaluation adapter,P6,M5,Combat,Engineering,P0,Not Started,13,,Modern Companions,GPL adaptation + provenance,Implement equipment evaluation adapter,Best valid gear is selected safely.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-053,Implement combat XP/level bridge,P6,M5,Combat,Engineering,P1,Not Started,8,,Modern Companions,GPL adaptation + provenance,Implement combat XP/level bridge,Progress persists in resident record.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-054,"Implement traits, morale and bond bridge",P6,M5,Combat,Engineering,P1,Not Started,8,,Modern Companions,GPL adaptation + provenance,"Implement traits, morale and bond bridge",No duplication with MCA personality.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-055,Implement safe recall policy,P6,M5,Combat,Engineering,P1,Not Started,8,,Modern Companions,GPL adaptation + provenance,Implement safe recall policy,Recall is permission and dimension safe.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-056,Implement faction/family friendly-fire policy,P6,M5,Combat,Engineering,P0,Not Started,8,,Modern Companions,GPL adaptation + provenance,Implement faction/family friendly-fire policy,Protected targets are never selected.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-057,Create desert integration fixture,P7,M6,Vertical Slice,Engineering,P0,Not Started,8,,All,GPL adaptation + provenance,Create desert integration fixture,Reproducible test settlement exists.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-058,Recruit MCA villager into MineColonies colony,P7,M6,Vertical Slice,Engineering,P0,Not Started,13,,All,GPL adaptation + provenance,Recruit MCA villager into MineColonies colony,One resident record; MCA identity preserved.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-059,Assign family-aware housing and profession,P7,M6,Vertical Slice,Engineering,P0,Not Started,13,,All,GPL adaptation + provenance,Assign family-aware housing and profession,Home/building/job are valid.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-060,Connect EGO readiness to work schedule,P7,M6,Vertical Slice,Engineering,P0,Not Started,13,,Immersive EGO,Runtime API only,Connect EGO readiness to work schedule,Drought alters readiness and production.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-061,Fulfill warehouse-backed resource request,P7,M6,Vertical Slice,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Fulfill warehouse-backed resource request,Exactly one transfer occurs.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-062,Assign guard role and patrol,P7,M6,Vertical Slice,Engineering,P0,Not Started,13,,Modern Companions,GPL adaptation + provenance,Assign guard role and patrol,Resident protects civilians.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-063,Preserve family/relationship across reload,P7,M6,Vertical Slice,Engineering,P0,Not Started,8,,MCA Reborn,GPL adaptation + provenance,Preserve family/relationship across reload,MCA social state survives restart.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-064,Generate reputation and migration effects,P7,M6,Vertical Slice,Engineering,P1,Not Started,8,,Original,Original,Generate reputation and migration effects,Player response changes civic outcomes.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-065,Run dedicated-server scenario,P7,M6,Vertical Slice,Engineering,P0,Not Started,8,,All,GPL adaptation + provenance,Run dedicated-server scenario,Full slice passes server smoke test.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-066,Define profession/specialization registry,P8,M7,Jobs,Engineering,P0,Not Started,8,,Original,Original,Define profession/specialization registry,Mappings are data-driven.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-067,Implement skills and experience,P8,M7,Jobs,Engineering,P1,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement skills and experience,Skills progress from work.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-068,Implement EGO work readiness,P8,M7,Jobs,Engineering,P0,Not Started,8,,Immersive EGO,Runtime API only,Implement EGO work readiness,Needs affect work deterministically.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-069,Implement schedule planner,P8,M7,Jobs,Engineering,P1,Not Started,13,,Original,Original,Implement schedule planner,"Work, sleep, meals and family coordinate.",Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-070,Implement building/job mapping profiles,P8,M7,Jobs,Engineering,P0,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement building/job mapping profiles,MineColonies roles map cleanly.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-071,Implement progressive refusal/recovery,P8,M7,Jobs,Engineering,P1,Not Started,8,,Original,Original,Implement progressive refusal/recovery,Failure escalates gradually.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-072,Implement qualification/apprenticeship gates,P8,M7,Jobs,Engineering,P2,Not Started,8,,Original,Original,Implement qualification/apprenticeship gates,Workers learn before mastery.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-073,Define atomic transaction model,P9,M7,Logistics,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Define atomic transaction model,Inputs/outputs have explicit lifecycle.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-074,Implement item-source resolver,P9,M7,Logistics,Engineering,P0,Not Started,8,,MineColonies,GPL adaptation + provenance,Implement item-source resolver,Worker/building/warehouse sources follow policy.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-075,Implement reservation ledger,P9,M7,Logistics,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Implement reservation ledger,Stacks cannot be double-reserved.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-076,Implement courier handoff,P9,M7,Logistics,Engineering,P1,Not Started,13,,MineColonies,GPL adaptation + provenance,Implement courier handoff,Requests use MineColonies flow when appropriate.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-077,Implement cancellation and rollback,P9,M7,Logistics,Engineering,P0,Not Started,13,,Original,Original,Implement cancellation and rollback,Interruptions do not duplicate.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-078,Implement restart repair,P9,M7,Logistics,Engineering,P0,Not Started,8,,Original,Original,Implement restart repair,Stale transactions recover.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-079,Implement request diagnostics,P9,M7,Diagnostics,Engineering,P1,Not Started,5,,Original,Original,Implement request diagnostics,Transactions are explainable.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-080,Define NPC work recipe codec,P10,M8,Work Recipes,Engineering,P0,Not Started,13,,Original,Original,Define NPC work recipe codec,"Recipes model worker, station, inputs and outputs.",Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-081,Implement workstation tag resolver,P10,M8,Work Recipes,Engineering,P0,Not Started,8,,Original,Original,Implement workstation tag resolver,Existing stations are data-driven.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-082,Implement worker-state conditions,P10,M8,Work Recipes,Engineering,P0,Not Started,8,,Original,Original,Implement worker-state conditions,"Readiness, skill and safety gate work.",Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-083,Implement multi-stage execution,P10,M8,Work Recipes,Engineering,P1,Not Started,13,,MineColonies,GPL adaptation + provenance,Implement multi-stage execution,Stages are deterministic.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-084,Implement quality/failure model,P10,M8,Work Recipes,Engineering,P2,Not Started,8,,Original,Original,Implement quality/failure model,Quality is bounded and explainable.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-085,Implement recipe validation,P10,M8,Work Recipes,Engineering,P0,Not Started,8,,Original,Original,Implement recipe validation,Invalid data disables safely.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-086,Add machine-replacement policy tags,P10,M8,Work Recipes,Engineering,P1,Not Started,5,,Original,Original,Add machine-replacement policy tags,Packmakers control replacement scope.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-087,Add vanilla-station examples,P10,M8,Work Recipes,Engineering,P1,Not Started,8,,Original,Original,Add vanilla-station examples,Examples add no new content.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-088,Define faction/culture/settlement models,P11,M9,Society,Engineering,P0,Not Started,13,,Original,Original,Define faction/culture/settlement models,Identity concepts remain distinct.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-089,Implement biome culture seeding,P11,M9,Culture,Engineering,P1,Not Started,8,,Immersive EGO,Runtime API only,Implement biome culture seeding,Biome/population seed culture.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-090,Implement cultural practices,P11,M9,Culture,Engineering,P1,Not Started,13,,Original,Original,Implement cultural practices,"Schedules, food, trade and defense adapt.",Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-091,Implement multidimensional reputation,P11,M9,Reputation,Engineering,P0,Not Started,13,,Original,Original,Implement multidimensional reputation,Trust/respect/fear/honor/crime/favor/debt persist.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-092,Implement loyalty and grievances,P11,M9,Reputation,Engineering,P1,Not Started,8,,Original,Original,Implement loyalty and grievances,Residents remember treatment.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-093,Implement faction relation graph,P11,M9,Faction,Engineering,P1,Not Started,13,,Original,Original,Implement faction relation graph,Relations are bounded and explicit.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-094,Implement reputation event bus,P11,M9,Reputation,Engineering,P0,Not Started,8,,Original,Original,Implement reputation event bus,Events score once.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-095,Implement reputation explain command,P11,M9,Diagnostics,Engineering,P1,Not Started,5,,Original,Original,Implement reputation explain command,Causes and decay are visible.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-096,Define goods/services value model,P12,M9,Economy,Engineering,P0,Not Started,13,,Original,Original,Define goods/services value model,Value responds to stock and context.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-097,Implement scarcity from colony stock,P12,M9,Economy,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Implement scarcity from colony stock,Warehouse drives bounded prices.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-098,Implement barter offers,P12,M9,Trade,Engineering,P1,Not Started,8,,Original,Original,Implement barter offers,Trades can avoid emeralds.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-099,Implement favor/debt ledger,P12,M9,Economy,Engineering,P0,Not Started,8,,Original,Original,Implement favor/debt ledger,Obligations persist.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-100,Implement contracts model,P12,M9,Contracts,Engineering,P1,Not Started,13,,Original,Original,Implement contracts model,Issuer/objective/reward/deadline persist.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-101,Deliver contracts through MCA dialogue,P12,M9,Contracts,Engineering,P1,Not Started,13,,MCA Reborn,GPL adaptation + provenance,Deliver contracts through MCA dialogue,Residents present civic work.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-102,Implement anti-inflation controls,P12,M9,Economy,Engineering,P0,Not Started,8,,Original,Original,Implement anti-inflation controls,Loops remain bounded.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-103,Implement optional currency SPI,P12,M9,Economy,Engineering,P2,Not Started,8,,Original,Original,Implement optional currency SPI,Future currency mods can integrate.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-104,Define military hierarchy,P13,M10,Defense,Engineering,P1,Not Started,8,,Original,Original,Define military hierarchy,Civilian/militia/guard/specialist/commander exist.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-105,Map MineColonies guard buildings,P13,M10,Defense,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Map MineColonies guard buildings,Guard jobs assign host-neutral roles.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-106,Implement civilian shelter order,P13,M10,Defense,Engineering,P0,Not Started,8,,Original,Original,Implement civilian shelter order,Civilians seek valid safety.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-107,Implement protect-family priority,P13,M10,Defense,Engineering,P1,Not Started,8,,MCA Reborn,GPL adaptation + provenance,Implement protect-family priority,Family affects defense without loops.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-108,Implement raid response coordinator,P13,M10,Defense,Engineering,P0,Not Started,13,,MineColonies,GPL adaptation + provenance,Implement raid response coordinator,Raid state creates coherent orders.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-109,Implement escort/caravan defense,P13,M10,Defense,Engineering,P1,Not Started,13,,Modern Companions,GPL adaptation + provenance,Implement escort/caravan defense,Workers and families can be protected.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-110,Implement casualty/trauma consequences,P13,M10,Defense,Engineering,P1,Not Started,8,,Immersive EGO,Runtime API only,Implement casualty/trauma consequences,EGO and morale reflect battle.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-111,Implement command permissions,P13,M10,Defense,Engineering,P0,Not Started,8,,Original,Original,Implement command permissions,Authority and colony permissions gate orders.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-112,Define household and shared-home policy,P14,M11,Household,Engineering,P0,Not Started,13,,MCA Reborn,GPL adaptation + provenance,Define household and shared-home policy,MCA family maps to housing.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-113,Implement household inventory policy,P14,M11,Household,Engineering,P1,Not Started,8,,Original,Original,Implement household inventory policy,Shared essentials respect reservations.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-114,Implement care responsibilities,P14,M11,Family,Engineering,P1,Not Started,8,,Original,Original,Implement care responsibilities,Children/injured residents receive support.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-115,Implement child safety gates,P14,M11,Family,Engineering,P0,Not Started,8,,MCA Reborn,GPL adaptation + provenance,Implement child safety gates,Unsafe jobs and combat are denied.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-116,Implement apprenticeship,P14,M11,Education,Engineering,P1,Not Started,13,,MineColonies,GPL adaptation + provenance,Implement apprenticeship,Qualified adults teach youth.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-117,Implement adulthood profession transition,P14,M11,Education,Engineering,P1,Not Started,8,,MCA Reborn,GPL adaptation + provenance,Implement adulthood profession transition,Life stage unlocks work safely.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-118,Implement household migration,P14,M11,Migration,Engineering,P1,Not Started,13,,Original,Original,Implement household migration,Families move together by default.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-119,Separate culture and biological origin inheritance,P14,M11,Family,Engineering,P2,Not Started,8,,Immersive EGO,Runtime API only,Separate culture and biological origin inheritance,Concepts never collapse together.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-120,Define governance and offices,P15,M11,Governance,Engineering,P1,Not Started,13,,Original,Original,Define governance and offices,Leader/council/guild roles are data-driven.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-121,Implement legitimacy,P15,M11,Governance,Engineering,P0,Not Started,8,,Original,Original,Implement legitimacy,Security/prosperity/trust/law influence authority.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-122,Implement configurable laws,P15,M11,Law,Engineering,P1,Not Started,13,,Original,Original,Implement configurable laws,Actions/jurisdiction/consequences are profiles.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-123,Implement crime ledger,P15,M11,Crime,Engineering,P0,Not Started,13,,Original,Original,Implement crime ledger,Theft/assault/sabotage record once.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-124,Implement justice responses,P15,M11,Crime,Engineering,P1,Not Started,13,,Original,Original,Implement justice responses,Warnings/fines/exile/hostility are configurable.,Inspect pinned upstream source first; update provenance; build and test before completion.
CIV-125,Implement migration pressure,P15,M11,Migration,Engineering,P0,Not Started,8,,Original,Original,Implement migration pressure,Housing/food/safety/family drive movement.,Inspect pinned upstream source first; update provenance; build and test before completion.
